file_id,voice,text,source_paragraph_id,source_index
ardi001,ardi,"Yewe hale'-hale'e irita lalengna foto yero nafengre'e Annisa, sibawa Ani, Benena Agus yero tampil i fake kaing batik cello cella' sibawa kebaja' fute wettunna hadere' upacara pengre' bendera esso kemerdekaan RI beberapa taung laloe.",paragraph_001,120681
ardi002,ardi,"Sayangna, yewe taungnge irayakan Alleppereng sumpulolo SBY silengengni dessa gaga Ani.",paragraph_001,120681
ardi003,ardi,Makkungrai aseng aslinna Kristiani yero tutu' umuru' furana iteppu malasa kanker darah.,paragraph_001,120681
ardi004,ardi,"Namu Gareja Katolik mappunnai seddi doktring pura idefinisikang secara dogmatis ri dosa assaleng, naekiyya de naripannessa passaleng nasi’na ana’lolo-ana’loloe iyya depa ibaptis; para teolo’ yaleng abebasakeng untu’ musulkangngi maega teori sihubunganna iyyae passalengnge, magisterium Gereja bebasa’to untu’ matterima iyyare’ga tola’i.",paragraph_002,56065
ardi005,ardi,Kuburu tuhan Yesus Kristus sedang dibukka.,paragraph_003,13763
ardi006,ardi,Untu' pertamakalinya eddi mancaji di Yerusalem ketika mereka meluncurkan marmer kuburu tuhan Yesus.,paragraph_003,13763
ardi007,ardi,Saddang sangkakala diangkalinga na ellung mabbentu lingkaran.,paragraph_003,13763
ardi008,ardi,"Puji tuhan, fenomena yang dena naulle dijelaskang ancaji esso eddu di Israel, like pelik tafi tuju.",paragraph_003,13763
ardi009,ardi,"Melona siolong Sang Khalik Maha Pencipta, Kristiani Herawati Yudhoyono iyaregga irisseng Ani Yudhoyono, nasalei fappaseng secara husus lao kader sibawa fangurusu'na Partai Demokrat yero alena fatettongngi sibawa nafaloppoi.",paragraph_004,14166
ardi010,ardi,"Farellong faccappurengna Ani Yudhoyono yero mabbentu' fappaseng nafalettu' akki Kepala Divisi Komunikasi DPP Demokrat, Imelda Sari lalo pesang fonco' akki megae grup WhatsApp fangurusu' DPP Demokrat.",paragraph_004,14166
ardi012,ardi,"Purana yamaneng pemimpin keagamaan, politik,sibawa sosial mattama Kristen, cumpai tanggapan matedde pole maega tau, iyae makkibbu Ranavalona mancaji tappede mengkhawatirkan dampak Kekristenan terhadap politik sibawa budaya Madagaskar, sibawa alena tona merasa makkeda agama iyero makkibbu rakyat Madagaskar berpaling pole nenek moyang sibawa tradisi iyero.",paragraph_006,122442
ardi016,ardi,"Papile Cerasi ku uluna Pengangkatan Tubuh iyya yita manessa, naiyya uluna Santo Paulus na Santo Petrus iyyanaritu untu' makkai dua Rasul iyya punnai akkeguna parellu lanre ku lalengna Gereja Katolik Roma, padae iyyato mega missengi mancaji uluna kedonge kontra-reformasi iyya asilaingena iman na kemartiran.",paragraph_010,15760
ardi017,ardi,"Ku manessae, tabel-tabel kanon, naiyya gambara-gambara paroki Injil, parellu lanre laleng studi alopponge oki naskah ku periode Abad Patengang Pamulang, ku tegi iyyami cedde naskah iyya ipatahangi, na naskah iyya lebbi riolo matama' lebbi cedde gambara' naiyya naskah pole periode matuna.",paragraph_011,13038
ardi018,ardi,"Narekko provinsi iye miskin sibawa idi materru runtui stigma majae, padae bawang hinaan ero rituju lao ri Tuhan.",paragraph_012,120746
ardi019,ardi,"ero battuangna idi mebbere beban Tuhan, tandasna.",paragraph_012,120746
ardi020,ardi,Laonimai idi mengurangngi beban Tuhan sibawa najamai potensi iyae riwerengngi Tuhan lao ri idi sibawa madeceng.,paragraph_012,120746
ardi021,ardi,"Minimal idi dek paimeng riteppu sebagai provinsi miskin, provinsi macarepa, nasaba memang gereja sibawa pamarentah sama-sama majjama sibawa untu naatasi, tutupna.",paragraph_012,120746
ardi022,ardi,"Nazaret, kotaNazareth, kota onrong Yesus atau Nabi Isa Almasih nacappuri masa ana-ana, taung eddi merayakang Natal.",paragraph_013,105289
ardi023,ardi,"Wali Kota Nazareth Ali Salam, nabatalkang seluruh rangkaian Perayaang Natal, sebagai protes atau keputusang Presideng Amerika serikat Donald Trump yang manggaku Yerusalem sebagai Ibu Kota Israel.",paragraph_013,105289
ardi024,ardi,"Kota aro elo mafatuo Pohon Natal, tafi dena menggelar perayaan apapun.",paragraph_013,105289
ardi025,ardi,Alena lao sibawa siare surona gereja'e nennia ade'e untu' mappasadia surona Papua iyae matu engka ri upacara penobatanna Jokowi.,paragraph_014,38415
